N,FFT_time_ms,DFT_time_ms
64,0.020173,0.280239
128,0.036641,1.07688
256,0.090704,4.71545
512,0.141599,18.4978
1024,0.299409,72.6706
2048,1.10158,285.351
4096,1.30729,1086.27
